name,military record.organization,military record.rank
"Mckinney, John R.",U.S. Army,Sergeant
"Woodford, Howard E.",U.S. Army,Staff Sergeant
"Nininger, Alexander R.",U.S. Army,Second Lieutenant
"Lee, Hubert L.",U.S. Army,Master Sergeant
"Epps, Joseph L.",U.S. Army,Private
"Wigle, Thomas W.",U.S. Army,Second Lieutenant
"Smith, Eugene P.",U.S. Navy,Chief Watertender
"Nett, Robert B.",U.S. Army,Captain
"Peters, George J.",U.S. Army,Private
"Valdez, Jose F.",U.S. Army,Private First Class
"Rascon, Alfred V.",U.S. Army,Specialist Fourth Class
"Bloch, Orville Emil",U.S. Army,First Lieutenant
"Mower, Charles E.",U.S. Army,Sergeant
"Romesha, Clinton L.",U.S. Army,Staff Sergeant
"Crain, Morris E.",U.S. Army,Technical Sergeant
"Gammon, Archer T.",U.S. Army,Staff Sergeant
"Krotiak, Anthony L.",U.S. Army,Private First Class
"Michael, Harry J.",U.S. Army,Second Lieutenant
"Peden, Forrest E.",U.S. Army,Technician Fifth Grade
"Nash, Henry H.",U.S. Army,Corporal
"Gaujot, Antoine A.",U.S. Army,Corporal
"Downs, Willis H.",U.S. Army,Private
"Brown, Melvin L.",U.S. Army,Private First Class
"Dean, William F.",U.S. Army,Major General
"Henry, Frederick F.",U.S. Army,First Lieutenant
"Turner, Charles W.",U.S. Army,Sergeant First Class
"Watkins, Travis E.",U.S. Army,Master Sergeant
"Appleton, William H.",U.S. Army,First Lieutenant
"Kelly, Charles E.",U.S. Army,Corporal
"Kisters, Gerry H.",U.S. Army,Second Lieutenant
"Breault, Henry",U.S. Navy,Torpedoman Second Class
"Calugas, Jose",U.S. Army,Sergeant
"Welch, George W.",U.S. Army,Private
"Pierce, Larry S.",U.S. Army,Sergeant
"Hibbs, Robert John",U.S. Army,Second Lieutenant
"Hughes, Lloyd H.",U.S. Army,Second Lieutenant
"Van Noy, Junior",U.S. Army,Private
"Mcgee, William D.",U.S. Army,Private
"Merrell, Joseph F.",U.S. Army,Private
"Moskala, Edward J.",U.S. Army,Private First Class
"Murphy, Frederick C.",U.S. Army,Private First Class
"Wetzel, Walter C.",U.S. Army,Private First Class
"Crandall, Bruce P.",U.S. Army,Major
"Fields, James H.",U.S. Army,First Lieutenant
"Barnum, Harvey C.",U.S. Marine Corps,1st Lieutenant
"Barry, Augustus",U.S. Army,Sergeant Major
"Deglopper, Charles N.",U.S. Army,Private First Class
"Castle, Frederick W.",U.S. Army,Brigadier General
"Seitzinger, James M.",U.S. Army,Private
"Babcock, William J.",U.S. Army,Sergeant
"Snyder, William E.",U.S. Navy,Chief Electrician
"Fox, Wesley L.",U.S. Marine Corps,1st Lieutenant
"Fritz, Harold A.",U.S. Army,1st Lieutenant
"Jenkins, Don J.",U.S. Army,Private First Class
"Roberts, Gordon R.",U.S. Army,Specialist Fourth Class
"Anders, Frank L.",U.S. Army,Corporal
"Barrick, Jesse T.",U.S. Army,Corporal
"Keeble, Woodrow W.",U.S. Army,Master Sergeant
"Craw, Demas T.",U.S. Army,Colonel
"Bianchi, Willibald C.",U.S. Army,First Lieutenant
"Diamond, James H.",U.S. Army,Private First Class
"Terry, Seymour W.",U.S. Army,Captain
"Day, George E.",U.S. Air Force,Major
"Norris, Thomas R.",U.S. Navy,Lieutenant
"Mcguire, Thomas B.",U.S. Army,Major
"Munemori, Sadao S.",U.S. Army,Private First Class
"Sasser, Clarence Eugene",U.S. Army,Specialist Fifth Class
"Batson, Matthew A.",U.S. Army,First Lieutenant
"Bell, Harry",U.S. Army,Captain
"Ferguson, Arthur M.",U.S. Army,First Lieutenant
"Parker, James",U.S. Army,Lieutenant Colonel
"Gedeon, Louis",U.S. Army,Private
"Greer, Allen J.",U.S. Army,Second Lieutenant
"Pierce, Charles H.",U.S. Army,Private
"Schroeder, Henry F.",U.S. Army,Sergeant
"Shelton, George M.",U.S. Army,Private
"Biegler, George W.",U.S. Army,Captain
"Condon, Clarence M.",U.S. Army,Sergeant
"Lawton, Louis B.",U.S. Army,First Lieutenant
"Maclay, William P.",U.S. Army,Private
"Sletteland, Thomas",U.S. Army,Private
"Titus, Calvin Pearl",U.S. Army,Musician
"Trembley, William B.",U.S. Army,Private
"Walker, Frank O.",U.S. Army,Private
"White, Edward",U.S. Army,Private
"Walker, Kenneth N.",U.S. Army,Brigadier General
"Baker, Addison E.",U.S. Army,Lieutenant Colonel
"Mcginty, John J. Iii",U.S. Marine Corps,Staff Sergeant
"Modrzejewski, Robert J.",U.S. Marine Corps,Captain
"Endl, Gerald L.",U.S. Army,Staff Sergeant
"Cawetzka, Charles",U.S. Army,Private
"Mathews, George W.",U.S. Army,Assistant Surgeon
"Nolan, Joseph A.",U.S. Army,Artificer
"Gillenwater, James R.",U.S. Army,Corporal
"Weaver, Amos",U.S. Army,Sergeant
"Ryan, Thomas John",U.S. Navy,Ensign
"Connor, James P.",U.S. Army,Sergeant
"Spurrier, Junior J.",U.S. Army,Staff Sergeant
"Towle, John R.",U.S. Army,Private
"George, Charles",U.S. Army,Private First Class
"Alvarado, Leonard L.",U.S. Army,Specialist Fourth Class
"Baldonado, Joe R.",U.S. Army,Corporal
"Cano, Pedro",U.S. Army,Private
"Conde-Falcon, Felix M.",U.S. Army,Staff Sergeant
"Copas, Ardie R.",U.S. Army,Specialist Fourth Class
"Duran, Jesus S.",U.S. Army,Sergeant
"Erevia, Santiago J.",U.S. Army,Sergeant
"Espinoza, Victor H.",U.S. Army,Sergeant
"Gandara, Joe",U.S. Army,Private
"Garcia, Candelario",U.S. Army,Sergeant
"Gomez, Eduardo C.",U.S. Army,Sergeant First Class
"Kravitz, Leonard M.",U.S. Army,Private First Class
"Lara, Salvador J.",U.S. Army,Private First Class
"Leonard, William F.",U.S. Army,Staff Sergeant
"Mendoza, Manuel V.",U.S. Army,Staff Sergeant
"Morris, Melvin",U.S. Army,Staff Sergeant
"Negron, Juan E.",U.S. Army,Sergeant
"Nietzel, Alfred B.",U.S. Army,Sergeant
"Pena, Mike C.",U.S. Army,Master Sergeant
"Rivera, Demensio",U.S. Army,Private
"Rodela, Jose",U.S. Army,Sergeant First Class
"Schwab, Donald K.",U.S. Army,First Lieutenant
"Vera, Miguel A.",U.S. Army,Private
"Weinstein, Jack",U.S. Army,Sergeant
"Gowan, William Henry",U.S. Navy,Boatswain's Mate
"Wheeler, George Huber",U.S. Navy,Shipfitter First Class
"Charlton, Cornelius H.",U.S. Army,Sergeant
"Duke, Ray E.",U.S. Army,Sergeant First Class
"Behne, Frederick",U.S. Navy,Fireman First Class
"Behnke, Heinrich",U.S. Navy,Seaman First Class
"Bresnahan, Patrick Francis",U.S. Navy,Watertender
"Corahorgi, Demetri",U.S. Navy,Fireman First Class
"Floyd, Edward",U.S. Navy,Boilermaker
"Johannessen, Johannes J.",U.S. Navy,Chief Watertender
"Greely, Adolphus W.",U.S. Army,Major General
"Appleton, Edwin Nelson",U.S. Marine Corps,Corporal
"Burnes, James",U.S. Marine Corps,Private
"Cahey, Thomas",U.S. Navy,Seaman
"Girandy, Alphonse",U.S. Navy,Seaman
"Heisch, Henry William",U.S. Marine Corps,Private
"Mcallister, Samuel",U.S. Navy,Ordinary Seaman
"Pfeifer, Louis Fred",U.S. Marine Corps,Private
"Clary, Edward Alvin",U.S. Navy,Watertender
"Britt, Maurice L.",U.S. Army,Captain
"Wilkins, Raymond H.",U.S. Army,Major
"Parrott, Jacob",U.S. Army,Private
"Minue, Nicholas",U.S. Army,Private
"Anderson, Charles W.",U.S. Army,Private
"Harr, Harry R.",U.S. Army,Corporal
"Allen, Nathaniel M.",U.S. Army,Corporal
"Eubanks, Ray E.",U.S. Army,Sergeant
"Garman, Harold A.",U.S. Army,Private
"Keathley, George D.",U.S. Army,Staff Sergeant
"Monteith, Jimmie W.",U.S. Army,First Lieutenant
"Tominac, John J.",U.S. Army,First Lieutenant
"Matthews, Daniel P.",U.S. Marine Corps,Sergeant
"Beaumont, Eugene B.",U.S. Army,Major/Ass. Adjutant General
"Trinidad, Telesforo",U.S. Navy,Fireman Second Class
"Macarthur, Douglas",U.S. Army,General
"Mcgaha, Charles L.",U.S. Army,Master Sergeant
"Barton, Thomas",U.S. Navy,Seaman
"Albanese, Lewis",U.S. Army,Private First Class
"Long, Donald Russell",U.S. Army,Sergeant
"Peters, Henry C.",U.S. Army,Private
"Joel, Lawrence",U.S. Army,Specialist Sixth Class
"Smith, Paul R.",U.S. Army,Sergeant First Class
"Archer, Lester",U.S. Army,Sergeant
"Barnes, William H.",U.S. Army,Private
"Beaty, Powhatan",U.S. Army,First Sergeant
"Smith, Wilhelm",U.S. Navy,Gunner's Mate First Class
"Hall, George J.",U.S. Army,Staff Sergeant
"Mcveigh, John J.",U.S. Army,Sergeant
"Pendleton, Jack J.",U.S. Army,Staff Sergeant
"Boyce, George W. G.",U.S. Army,Second Lieutenant
"Lloyd, Edgar H.",U.S. Army,First Lieutenant
"Shomo, William A.",U.S. Army,Major
"Crescenz, Michael J.",U.S. Army,Corporal
"Monsoor, Michael A.",U.S. Navy,Petty Officer 2nd Class
"Kingsley, David R.",U.S. Army,Second Lieutenant
"Burke, Lloyd L.",U.S. Army,First Lieutenant
"Hernandez, Rodolfo P.",U.S. Army,Corporal
"Wilson, Harold E.",U.S. Marine Corps,Technical Sergeant
"Kapaun, Emil Joseph",U.S. Army,Captain (Chaplain)
"Ayers, David",U.S. Army,Sergeant
"Hudner, Thomas Jerome,",U.S. Navy,Lieutenant
"Cox, Robert Edward",U.S. Navy,Chief Gunner's Mate
"Lewis, Henry",U.S. Army,Corporal
"Gregg, Stephen R.",U.S. Army,Second Lieutenant
"Hallman, Sherwood H.",U.S. Army,Staff Sergeant
"Lobaugh, Donald R.",U.S. Army,Private
"Mccall, Thomas E.",U.S. Army,Staff Sergeant
"Prussman, Ernest W.",U.S. Army,Private First Class
"Roeder, Robert E.",U.S. Army,Captain
"Ray, Charles W.",U.S. Army,Sergeant
"Taylor, Richard H.",U.S. Navy,Quartermaster
"Lindstrom, Floyd K.",U.S. Army,Private First Class
"Baird, Absalom",U.S. Army,Brigadier General
"Childers, Ernest",U.S. Army,Second Lieutenant
"Adams, Lucian",U.S. Army,Staff Sergeant
"Fisher, Almond E.",U.S. Army,Second Lieutenant
"Harris, James L.",U.S. Army,Second Lieutenant
"Ross, Wilburn K.",U.S. Army,Private
"Sadowski, Joseph J.",U.S. Army,Sergeant
"Whittington, Hulon B.",U.S. Army,Sergeant
"Essebagger, John,",U.S. Army,Corporal
"Beatty, Alexander M.",U.S. Army,Captain
"Wetherby, John C.",U.S. Army,Private
"Booker, Robert D.",U.S. Army,Private
"Craig, Gordon M.",U.S. Army,Corporal
"Jecelin, William R.",U.S. Army,Sergeant
"Ouellette, Joseph R.",U.S. Army,Private First Class
"Red Cloud, Mitchell,",U.S. Army,Corporal
"Page, John U. D.",U.S. Army,Lieutenant Colonel
"Olive, Milton L. Iii",U.S. Army,Private First Class
"Fernandez, Daniel",U.S. Army,Specialist Fourth Class
"Bickham, Charles G.",U.S. Army,First Lieutenant
"Davis, Charles P.",U.S. Army,Private
"Robertson, Marcus W.",U.S. Army,Private
"Williams, Ernest Calvin",U.S. Marine Corps,First Lieutenant
"Mcgrath, Hugh J.",U.S. Army,Captain
"Hobson, Richmond Pearson",U.S. Navy,Lieutenant
"Galt, Sterling A.",U.S. Army,Artificer
"Batchelder, Richard N.",U.S. Army,Lt. Colonel/Chief Quartermaster
"Fitz, Joseph",U.S. Navy,Ordinary Seaman
"Baker, John",U.S. Army,Musician
"Foley, Robert F.",U.S. Army,Captain
"Salomon, Ben L.",U.S. Army,Captain
"Swanson, Jon E.",U.S. Army,Captain
"Kaho'Ohanohano, Anthony T.",U.S. Army,Private First Class
"Svehla, Henry",U.S. Army,Private First Class
"Anderson, Thomas",U.S. Army,Corporal
"Leahy, Cornelius J.",U.S. Army,Private
"Logan, John A.",U.S. Army,Major
"Breeman, George",U.S. Navy,Seaman
"Kilbourne, Charles E.",U.S. Army,First Lieutenant
"Baker, Thomas A.",U.S. Army,Sergeant
"Femoyer, Robert E.",U.S. Army,Second Lieutenant
"Fryar, Elmer E.",U.S. Army,Private
"O'Brien, William J.",U.S. Army,Lieutenant Colonel
"Christensen, Dale Eldon",U.S. Army,Second Lieutenant
"Carey, Alvin P.",U.S. Army,Staff Sergeant
"Dunham, Russell E.",U.S. Army,Technical Sergeant
"Kandle, Victor L.",U.S. Army,First Lieutenant
"Allen, Abner P.",U.S. Army,Corporal
"Apple, Andrew O.",U.S. Army,Corporal
"Maxwell, Robert D.",U.S. Army,Technician Fifth Grade
"White, Kyle J.",U.S. Army,Sergeant
"Barrell, Charles L.",U.S. Army,First Lieutenant
"Hagemeister, Charles Chris",U.S. Army,Specialist Fourth Class
"Pittman, Richard A.",U.S. Marine Corps,Lance Corporal
"Ballard, Donald E.",U.S. Navy,Hospital Corpsman Second Class
"Bucha, Paul William",U.S. Army,Captain
"Fleming, James P.",U.S. Air Force,1st Lieutenant
"Herda, Frank A.",U.S. Army,Private First Class
"Kelley, Thomas G.",U.S. Navy,Lieutenant
"Kerrey, Joseph R.",U.S. Navy,"Lieutenant, Junior Grade"
"Livingston, James E.",U.S. Marine Corps,Captain
"Lynch, Allen James",U.S. Army,Specialist Fourth Class
"Ray, Ronald Eric",U.S. Army,1st Lieutenant
"Vargas, Jay R.",U.S. Marine Corps,Captain
"Gott, Donald J.",U.S. Army,First Lieutenant
"Johnson, Elden H.",U.S. Army,Private
"Metzger, William E.",U.S. Army,Second Lieutenant
"Sabo, Leslie H.",U.S. Army,Specialist Fourth Class
"Boehler, Otto",U.S. Army,Private
"Kinne, John B.",U.S. Army,Private
"Ferguson, Frederick Edgar",U.S. Army,Chief Warrant Officer
"Kinsman, Thomas James",U.S. Army,Private First Class
"Christian, Herbert F.",U.S. Army,Private
"Kimbro, Truman",U.S. Army,Technician Fourth Grade
"Monssen, Mons",U.S. Navy,Chief Gunner's Mate
"Schepke, Charles S.",U.S. Navy,Gunner's Mate First Class
"Craig, Robert",U.S. Army,Second Lieutenant
"Huff, Paul B.",U.S. Army,Corporal
"Knappenberger, Alton W.",U.S. Army,Private First Class
"Freeman, William H.",U.S. Army,Private
"Huidekoper, Henry S.",U.S. Army,Lieutenant Colonel
"Slaton, James D.",U.S. Army,Corporal
"Lindsey, Darrell R.",U.S. Army,Captain
"Lindsey, Jake W.",U.S. Army,Technical Sergeant
"Peregory, Frank D.",U.S. Army,Technical Sergeant
"Sheridan, Carl V.",U.S. Army,Private First Class
"Schwab, Albert Earnest",U.S. Marine Corps,Private First Class
"Mayfield, Melvin",U.S. Army,Corporal
"Welsh, James",U.S. Army,Private
"Dodd, Carl H.",U.S. Army,First Lieutenant
"Kouma, Ernest R.",U.S. Army,Master Sergeant
"Pittman, John A.",U.S. Army,Sergeant
"Fournier, William G.",U.S. Army,Sergeant
"Hall, Lewis",U.S. Army,Technician Fifth Grade
"Howard, James H.",U.S. Army,Lieutenant Colonel
"Mcginnis, Ross A.",U.S. Army,Private First Class
"Jensen, Gotfred",U.S. Army,Private
"Quinn, Peter H.",U.S. Army,Private
"Ross, Frank F.",U.S. Army,Private
"Erwin, Henry E.",U.S. Army,Staff Sergeant
"Knight, Jack L.",U.S. Army,First Lieutenant
"Barker, Charles H.",U.S. Army,Private First Class
"Shea, Richard T.",U.S. Army,1st Lieutenant
"Shaw, George C.",U.S. Army,First Lieutenant
"Doolittle, James H.",U.S. Army,Brigadier General
"Jachman, Isadore S.",U.S. Army,Staff Sergeant
"Moran, John E.",U.S. Army,Captain
"Button, William Robert",U.S. Marine Corps,Corporal
"Hanneken, Herman Henry",U.S. Marine Corps,Second Lieutenant
"Henry, Robert T.",U.S. Army,Private
"Wiedorfer, Paul J.",U.S. Army,Staff Sergeant
"Krzyzowski, Edward C.",U.S. Army,Captain
"Kanell, Billie G.",U.S. Army,Private
"Lemon, Peter C.",U.S. Army,Specialist Fourth Class
"Beasley, Harry C.",U.S. Navy,Seaman
"Bishop, Charles Francis",U.S. Navy,Quartermaster Second Class
"Cregan, George",U.S. Navy,Coxswain
"Decker, Percy A.",U.S. Navy,Boatswain's Mate Second Class
"Gisburne, Edward A.",U.S. Navy,Electrician Third Class
"Harner, Joseph Gabriel",U.S. Navy,Boatswain's Mate Second Class
"Nordsiek, Charles Luers",U.S. Navy,Ordinary Seaman
"Schnepel, Fred Jurgen",U.S. Navy,Ordinary Seaman
"Sinnett, Lawrence C.",U.S. Navy,Seaman
"Walsh, James A.",U.S. Navy,Seaman
"Baca, John P.",U.S. Army,Specialist Fourth Class
"Dunagan, Kern W.",U.S. Army,Major
"Anderson, Peter",U.S. Army,Private
"Bates, Norman F.",U.S. Army,Sergeant
"Coolidge, Charles H.",U.S. Army,Technical Sergeant
"Lopez, Jose M.",U.S. Army,Sergeant
"Thompson, Max",U.S. Army,Sergeant
"Ware, Keith L.",U.S. Army,Lieutenant Colonel
"Wilson, Alfred L.",U.S. Army,Technician Fifth Grade
"Pililaau, Herbert K.",U.S. Army,Private First Class
"Carpenter, William Kyle",U.S. Marine Corps,Lance Corporal
"Inouye, Daniel K.",U.S. Army,Second Lieutenant
"Kobashigawa, Yeiki",U.S. Army,Technical Sergeant
"Sakato, George T.",U.S. Army,Private
"Angling, John",U.S. Navy,Cabin Boy
"Barter, Gurdon H.",U.S. Navy,Landsman
"Bass, David L.",U.S. Navy,Seaman
"Bazaar, Philip",U.S. Navy,Ordinary Seaman
"Bates, Delavan",U.S. Army,Colonel
"Ames, Adelbert",U.S. Army,First Lieutenant
"Mathies, Archibald",U.S. Army,Sergeant
"Truemper, Walter E.",U.S. Army,Second Lieutenant
"Cowan, Richard Eller",U.S. Army,Private First Class
"Kiner, Harold G.",U.S. Army,Private
"Pucket, Donald D.",U.S. Army,First Lieutenant
"Warner, Henry F.",U.S. Army,Corporal
"Hawk, John D.",U.S. Army,Sergeant
"Meagher, John",U.S. Army,Technical Sergeant
"Ruiz, Alejandro R. Renteria",U.S. Army,Private First Class
"Vlug, Dirk J.",U.S. Army,Private First Class
"Anderson, Beauford T.",U.S. Army,Technical Sergeant
"Rosser, Ronald E.",U.S. Army,Corporal
"Benjamin, George,",U.S. Army,Private First Class
"Ogden, Carlos C.",U.S. Army,First Lieutenant
"Turner, Day G.",U.S. Army,Sergeant
"Barnum, Henry A.",U.S. Army,Colonel
"Baker, Edward, L.",U.S. Army,Sergeant Major
"Logan, James M.",U.S. Army,Sergeant
"Murray, Charles P.",U.S. Army,First Lieutenant
"Williams, Charles Q.",U.S. Army,First Lieutenant
"Quick, Joseph",U.S. Navy,Coxswain
"Porter, Horace",U.S. Army,Captain
"Versace, Humbert R.",U.S. Army,Captain
"Mills, Albert L.",U.S. Army,Captain/Ass. Adjutant General
"Anderson, Robert",U.S. Navy,Quartermaster
"Arther, Matthew",U.S. Navy,Signal Quartermaster
"Archinal, William",U.S. Army,Corporal
"Ingram, Robert R.",U.S. Navy,Petty Officer
"Crump, Jerry K.",U.S. Army,"7th Infantry Regiment, 3d Infantry Division"
"Barringer, William H.",U.S. Army,Private
"Mathis, Jack W.",U.S. Army,First Lieutenant
"Smith, Maynard H.",U.S. Army,Sergeant
"Specker, Joe C.",U.S. Army,Sergeant
"Petry, Leroy A.",U.S. Army,Staff Sergeant
"Parrish, Laverne",U.S. Army,Technician Fourth Grade
"Birkhimer, William E.",U.S. Army,Captain
"Byrne, Bernard A.",U.S. Army,Captain
"Grove, William R.",U.S. Army,Lieutenant Colonel
"Freeman, Ed W.",U.S. Army,Captain
"Drustrup, Niels",U.S. Navy,Lieutenant
"Davis, Charles W.",U.S. Army,Major
"Messerschmidt, Harold O.",U.S. Army,Sergeant
"Muller, Joseph E.",U.S. Army,Sergeant
"Magrath, John D.",U.S. Army,Private First Class
"Butts, John E.",U.S. Army,Second Lieutenant
"Johnson, Oscar G.",U.S. Army,Sergeant
"Thorson, John F.",U.S. Army,Private First Class
"Weicht, Ellis R.",U.S. Army,Sergeant
"Beaufort, Jean J.",U.S. Army,Corporal
"Crawford, William J.",U.S. Army,Private
"Pitts, Ryan M.",U.S. Army,Sergeant
"Sage, William H.",U.S. Army,Captain
"Deleau, Emile,",U.S. Army,Sergeant
"Shoup, Curtis F.",U.S. Army,Staff Sergeant
"Currey, Francis S.",U.S. Army,Private First Class
"Alber, Frederick",U.S. Army,Private
"Fadden, Harry D.",U.S. Navy,Coxswain
"Jones, Claud Ashton",U.S. Navy,Commander
"Rud, George William",U.S. Navy,Chief Machinist's Mate
"Willey, Charles H.",U.S. Navy,Machinist
"Archer, James W.",U.S. Army,First Lieutenant/Adjutant
"Adams, Stanley T.",U.S. Army,Master Sergeant
"Collier, John W.",U.S. Army,Corporal
"Coursen, Samuel S.",U.S. Army,First Lieutenant
"Desiderio, Reginald B.",U.S. Army,Captain
"Faith, Don C.",U.S. Army,Lieutenant Colonel
"Handrich, Melvin O.",U.S. Army,Master Sergeant
"Harvey, Raymond",U.S. Army,Captain
"Ingman, Einar H.",U.S. Army,Sergeant
"Kaufman, Loren R.",U.S. Army,Sergeant First Class
"Libby, George D.",U.S. Army,Sergeant
"Millett, Lewis L.",U.S. Army,Captain
"Story, Luther H.",U.S. Army,Private First Class
"Thompson, William",U.S. Army,Private First Class
"Wilson, Richard G.",U.S. Army,Private First Class
"Merli, Gino J.",U.S. Army,Private First Class
"Farquhar, John M.",U.S. Army,Sergeant Major
"Walton, George W.",U.S. Army,Private
"Smith, David L.",U.S. Army,Sergeant
"Lawley, William R.",U.S. Army,First Lieutenant
"Kane, John R.",U.S. Army,Colonel
"Murphy, Audie L.",U.S. Army,Second Lieutenant
"Albert, Christian",U.S. Army,Private
"Armstrong, Clinton L.",U.S. Army,Private
"Hammond, Lester,",U.S. Army,Corporal
"Porter, Donn F.",U.S. Army,Sergeant
"Jarrett, Berrie H.",U.S. Navy,Seaman
"Speicher, Clifton T.",U.S. Army,Corporal
"Smith, David M.",U.S. Army,Private First Class
"Schaefer, Joseph E.",U.S. Army,Staff Sergeant
"Porter, Ambrose",U.S. Army,Commissary Sergeant
"Carter, Ty M.",U.S. Army,Specialist
"Johnson, Peter",U.S. Navy,Fireman First Class
"Mahoney, George",U.S. Navy,Fireman First Class
"Bell, Bernard P.",U.S. Army,Technical Sergeant
"Beyer, Arthur O.",U.S. Army,Corporal
"Bolden, Paul L.",U.S. Army,Staff Sergeant
"Burr, Herbert H.",U.S. Army,Staff Sergeant
"Dalessondro, Peter J.",U.S. Army,Technical Sergeant
"Mann, Joe E.",U.S. Army,Private First Class
"Ayers, John G. K.",U.S. Army,Private
"Olson, Arlo L.",U.S. Army,Captain
"Anderson, Marion T.",U.S. Army,Captain
"Arnold, Abraham K.",U.S. Army,Captain
"Bolton, Cecil H.",U.S. Army,First Lieutenant
"Brown, Bobbie E.",U.S. Army,Captain
"Garcia, Marcario",U.S. Army,Staff Sergeant
"Hendrix, James R.",U.S. Army,Private
"Leonard, Turney W.",U.S. Army,First Lieutenant
"Mabry, George L.",U.S. Army,Lieutenant Colonel
"Miller, Andrew",U.S. Army,Staff Sergeant
"Mendonca, Leroy A.",U.S. Army,Sergeant
"Choate, Clyde L.",U.S. Army,Staff Sergeant
"Funk, Leonard A.",U.S. Army,First Sergeant
"Gerstung, Robert E.",U.S. Army,Technical Sergeant
"Herrera, Silvestre S.",U.S. Army,Private First Class
"Burris, Tony K.",U.S. Army,Sergeant First Class
"Anderson, Frederick C.",U.S. Army,Private
"Bjorklund, Arnold L.",U.S. Army,First Lieutenant
"Drowley, Jesse R.",U.S. Army,Staff Sergeant
"Johnston, William J.",U.S. Army,Private First Class
